Date,Symbol,Crypto,Open,High,Low,Close,Volume,Tradecount
26-07-2022,BTC,Bitcoin,21310.90,21347.82,20706.50,21254.67,3738774849.36,4545385
26-07-2022,DOGE,Dogecoin,0.06,0.06,0.06,0.06,36715804.48,108008
26-07-2022,DOT,Polkadot,6.76,6.79,6.52,6.78,43296197.23,72376
26-07-2022,ETH,Ethereum,1440.79,1454.11,1356.17,1449.12,1684928509.40,1175787
26-07-2022,FIL,Filecoin,5.24,5.44,5.10,5.32,21442634.92,44399
26-07-2022,LINK,ChainLink,6.43,6.45,6.08,6.34,34545203.78,118864
26-07-2022,MATIC,Polygon,0.77,0.78,0.72,0.78,116698567.23,327371
26-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,43608845.47,112262
26-07-2022,SOL,Solana,36.66,36.84,34.67,36.25,160614557.48,324317
26-07-2022,TRX,Tron,0.06,0.07,0.06,0.07,33209338.39,110421
26-07-2022,UNI,Uniswap,7.05,7.05,6.22,6.66,30609620.89,65050
26-07-2022,VET,VeChain,0.02,0.02,0.02,0.02,10765748.83,43400
26-07-2022,XLM,Stellar Lumens,0.11,0.11,0.10,0.11,5698635.10,27260
26-07-2022,XMR,Monero,143.50,151.40,137.90,151.00,17850646.55,50706
26-07-2022,XRP,Ripple XRP,0.34,0.34,0.33,0.34,82443390.95,153532
25-07-2022,AAVE,Aave,90.50,91.30,81.20,81.30,18191388.57,47419
25-07-2022,ADA,Cardano,0.51,0.52,0.47,0.48,98894494.42,218306
25-07-2022,BTC,Bitcoin,22577.13,22666.00,21250.00,21310.90,3954002948.55,4807238
25-07-2022,DOGE,Dogecoin,0.07,0.07,0.06,0.06,45313108.86,136385
25-07-2022,DOT,Polkadot,7.40,7.44,6.74,6.76,51497673.71,84736
25-07-2022,ETH,Ethereum,1597.70,1609.55,1435.58,1440.79,2151224738.82,1407648
25-07-2022,FIL,Filecoin,5.64,5.69,5.21,5.24,21485341.87,45260
25-07-2022,LINK,ChainLink,7.09,7.15,6.41,6.43,41374561.59,138641
25-07-2022,MATIC,Polygon,0.88,0.88,0.77,0.77,119903483.45,330730
25-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,44618619.47,97445
25-07-2022,SOL,Solana,40.93,41.09,36.56,36.65,163307551.87,308984
25-07-2022,TRX,Tron,0.07,0.07,0.06,0.06,45913300.27,122928
25-07-2022,UNI,Uniswap,7.25,7.53,6.81,7.04,44531751.64,107951
25-07-2022,VET,VeChain,0.03,0.03,0.02,0.02,14776002.14,57482
25-07-2022,XLM,Stellar Lumens,0.11,0.11,0.11,0.11,7562379.95,31118
25-07-2022,XMR,Monero,151.40,152.30,143.10,143.40,10014399.45,31124
25-07-2022,XRP,Ripple XRP,0.36,0.36,0.34,0.34,86676259.48,151193
24-07-2022,AAVE,Aave,89.30,93.50,88.10,90.60,11657897.01,37827
24-07-2022,ADA,Cardano,0.52,0.54,0.51,0.51,121580637.37,271496
24-07-2022,BTC,Bitcoin,22448.58,23014.64,22257.15,22579.68,2610817967.16,3671238
24-07-2022,DOGE,Dogecoin,0.07,0.07,0.07,0.07,28833198.01,81519
24-07-2022,DOT,Polkadot,7.32,7.58,7.31,7.40,36025618.94,62806
24-07-2022,ETH,Ethereum,1548.66,1664.34,1545.67,1597.70,1616289077.63,1238522
24-07-2022,FIL,Filecoin,5.58,5.92,5.54,5.64,22935200.67,46751
24-07-2022,LINK,ChainLink,6.84,7.25,6.84,7.09,35173349.99,115755
24-07-2022,MATIC,Polygon,0.87,0.91,0.85,0.88,89912586.23,249876
24-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,29293854.09,67566
24-07-2022,SOL,Solana,39.97,42.10,39.47,40.93,135780064.99,227835
24-07-2022,TRX,Tron,0.07,0.07,0.07,0.07,32345580.14,86538
24-07-2022,UNI,Uniswap,6.97,7.36,6.88,7.24,17835184.44,44035
24-07-2022,VET,VeChain,0.03,0.03,0.02,0.03,10551475.32,41753
24-07-2022,XLM,Stellar Lumens,0.11,0.12,0.11,0.11,4938928.01,20685
24-07-2022,XMR,Monero,146.40,154.00,146.40,151.40,8052168.14,27860
24-07-2022,XRP,Ripple XRP,0.36,0.37,0.36,0.36,55971080.82,111641
23-07-2022,AAVE,Aave,89.50,93.10,85.30,89.40,13469982.17,40277
23-07-2022,ADA,Cardano,0.48,0.52,0.47,0.52,98131475.97,207295
23-07-2022,BTC,Bitcoin,22684.83,23000.77,21934.57,22451.07,2745262660.68,3762227
23-07-2022,DOGE,Dogecoin,0.07,0.07,0.07,0.07,38863079.68,115180
23-07-2022,DOT,Polkadot,7.30,7.49,7.08,7.33,32905224.58,60771
23-07-2022,ETH,Ethereum,1535.27,1596.51,1488.00,1548.67,1310964570.19,950665
23-07-2022,FIL,Filecoin,5.48,5.66,5.40,5.57,14459886.71,38100
23-07-2022,LINK,ChainLink,6.78,7.03,6.61,6.84,28813078.97,101211
23-07-2022,MATIC,Polygon,0.85,0.89,0.81,0.87,85093060.64,241681
23-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,39122060.26,94194
23-07-2022,SOL,Solana,40.54,41.91,38.60,39.97,137541597.57,249647
23-07-2022,TRX,Tron,0.07,0.07,0.07,0.07,33187840.42,98353
23-07-2022,UNI,Uniswap,6.89,7.21,6.63,6.97,15394864.50,41087
23-07-2022,VET,VeChain,0.03,0.03,0.02,0.03,11931667.74,46063
23-07-2022,XLM,Stellar Lumens,0.11,0.11,0.11,0.11,5319692.98,21077
23-07-2022,XMR,Monero,149.10,151.30,142.10,146.30,10043899.74,27250
23-07-2022,XRP,Ripple XRP,0.36,0.36,0.35,0.36,50073528.36,106298
22-07-2022,AAVE,Aave,95.30,96.50,88.30,89.60,17577429.92,52354
22-07-2022,ADA,Cardano,0.50,0.51,0.48,0.48,99432126.05,196336
22-07-2022,BTC,Bitcoin,23152.19,23756.49,22500.00,22684.83,3981394766.23,4745582
22-07-2022,DOGE,Dogecoin,0.07,0.07,0.07,0.07,48427831.55,140701
22-07-2022,DOT,Polkadot,7.53,7.85,7.26,7.29,54960170.82,90663
22-07-2022,ETH,Ethereum,1575.45,1650.05,1516.11,1535.27,1865036182.28,1295899
22-07-2022,FIL,Filecoin,5.62,5.81,5.42,5.48,24409213.03,47009
22-07-2022,LINK,ChainLink,6.99,7.29,6.74,6.78,49292620.68,147444
22-07-2022,MATIC,Polygon,0.91,0.94,0.85,0.85,144230596.90,394096
22-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,58830789.18,119177
22-07-2022,SOL,Solana,43.10,44.33,40.03,40.54,190642884.61,328365
22-07-2022,TRX,Tron,0.07,0.07,0.07,0.07,35750825.07,114312
22-07-2022,UNI,Uniswap,7.23,7.46,6.82,6.89,20488044.54,49807
22-07-2022,VET,VeChain,0.03,0.03,0.03,0.03,18120941.52,68503
22-07-2022,XLM,Stellar Lumens,0.11,0.12,0.11,0.11,7956240.09,29283
22-07-2022,XMR,Monero,151.00,154.00,148.20,149.00,16761431.73,41567
22-07-2022,XRP,Ripple XRP,0.37,0.37,0.35,0.36,84039196.26,153583
21-07-2022,AAVE,Aave,90.80,97.70,87.90,95.40,22403227.09,65589
21-07-2022,ADA,Cardano,0.49,0.50,0.48,0.50,127916182.75,247529
21-07-2022,BTC,Bitcoin,23223.30,23442.77,22341.46,23152.19,4232411759.40,4808194
21-07-2022,DOGE,Dogecoin,0.07,0.07,0.07,0.07,57296862.70,167881
21-07-2022,DOT,Polkadot,7.47,7.60,7.18,7.53,46669250.59,82862
21-07-2022,ETH,Ethereum,1521.63,1605.98,1463.56,1575.45,1897833301.00,1282430
21-07-2022,FIL,Filecoin,5.59,5.75,5.38,5.63,30474362.73,54957
21-07-2022,LINK,ChainLink,6.87,7.06,6.65,6.99,43696936.04,140751
21-07-2022,MATIC,Polygon,0.83,0.93,0.80,0.91,210937746.82,538109
21-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,72564803.30,152992
21-07-2022,SOL,Solana,42.03,44.24,39.64,43.11,256606729.25,428346
21-07-2022,TRX,Tron,0.07,0.07,0.07,0.07,42337261.28,121340
21-07-2022,UNI,Uniswap,6.87,7.29,6.67,7.23,21410645.87,51464
21-07-2022,VET,VeChain,0.03,0.03,0.02,0.03,18127911.35,65358
21-07-2022,XLM,Stellar Lumens,0.11,0.11,0.11,0.11,7150741.57,30080
21-07-2022,XMR,Monero,151.50,153.20,145.80,151.10,25469498.54,64664
21-07-2022,XRP,Ripple XRP,0.36,0.37,0.35,0.37,99082317.91,176891
20-07-2022,AAVE,Aave,95.70,101.00,89.40,90.80,31299977.54,90167
20-07-2022,ADA,Cardano,0.52,0.55,0.49,0.49,202518393.72,408063
20-07-2022,BTC,Bitcoin,23398.48,24276.74,22906.19,23223.30,5631801151.22,6364038
20-07-2022,DOGE,Dogecoin,0.07,0.08,0.07,0.07,136124920.87,393791
20-07-2022,DOT,Polkadot,7.79,8.08,7.35,7.47,95392286.33,154360
20-07-2022,ETH,Ethereum,1542.33,1620.40,1484.23,1521.58,2109332407.43,1506300
20-07-2022,FIL,Filecoin,6.05,6.18,5.47,5.59,43909747.25,79311
20-07-2022,LINK,ChainLink,7.26,7.58,6.83,6.87,69775261.95,225875
20-07-2022,MATIC,Polygon,0.93,0.95,0.81,0.83,212017695.42,552301
20-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,150980371.96,316646
20-07-2022,SOL,Solana,44.87,46.30,41.24,42.04,282469604.68,477417
20-07-2022,TRX,Tron,0.07,0.07,0.07,0.07,61194985.85,158317
20-07-2022,UNI,Uniswap,7.35,7.61,6.78,6.86,33362328.91,75030
20-07-2022,VET,VeChain,0.03,0.03,0.03,0.03,28955698.84,106520
20-07-2022,XLM,Stellar Lumens,0.12,0.12,0.11,0.11,11236962.44,44568
20-07-2022,XMR,Monero,146.30,153.50,143.00,151.50,22206978.42,64345
20-07-2022,XRP,Ripple XRP,0.37,0.38,0.36,0.36,122555674.29,219247
19-07-2022,AAVE,Aave,96.20,102.50,92.10,95.70,44854038.74,121966
19-07-2022,ADA,Cardano,0.49,0.53,0.47,0.52,192345105.51,391077
19-07-2022,BTC,Bitcoin,22432.58,23800.00,21579.54,23396.62,5954419902.22,6488375
19-07-2022,DOGE,Dogecoin,0.07,0.07,0.07,0.07,71280807.40,211211
19-07-2022,DOT,Polkadot,7.65,8.03,7.49,7.79,113531372.53,180975
19-07-2022,ETH,Ethereum,1581.03,1631.00,1493.11,1542.32,2856463586.86,1818358
19-07-2022,FIL,Filecoin,5.94,6.27,5.65,6.04,50280204.14,91957
19-07-2022,LINK,ChainLink,7.04,7.37,6.73,7.25,82404411.95,251679
19-07-2022,MATIC,Polygon,0.96,0.98,0.88,0.93,238807081.13,627631
19-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,119677103.32,252184
19-07-2022,SOL,Solana,43.52,47.36,42.54,44.87,355431156.77,674599
19-07-2022,TRX,Tron,0.07,0.07,0.07,0.07,64124379.17,167257
19-07-2022,UNI,Uniswap,7.33,7.76,7.21,7.35,45218062.27,102219
19-07-2022,VET,VeChain,0.02,0.03,0.02,0.03,26656189.03,96806
19-07-2022,XLM,Stellar Lumens,0.11,0.12,0.11,0.12,12912798.06,47192
19-07-2022,XMR,Monero,146.90,149.00,139.80,146.30,21822173.10,60853
19-07-2022,XRP,Ripple XRP,0.37,0.38,0.35,0.37,135433770.49,240551
18-07-2022,AAVE,Aave,88.30,99.50,87.70,96.20,40474112.94,101908
18-07-2022,ADA,Cardano,0.45,0.50,0.45,0.49,184055804.57,353973
18-07-2022,BTC,Bitcoin,20799.58,22777.63,20762.45,22432.58,5263396811.54,6564387
18-07-2022,DOGE,Dogecoin,0.06,0.07,0.06,0.07,76698811.26,211722
18-07-2022,DOT,Polkadot,6.91,7.73,6.90,7.66,93668175.33,146911
18-07-2022,ETH,Ethereum,1338.65,1597.47,1336.07,1581.04,2980357374.79,1750043
18-07-2022,FIL,Filecoin,5.69,6.15,5.62,5.94,46467825.69,93116
18-07-2022,LINK,ChainLink,6.35,7.15,6.33,7.04,71169344.83,195068
18-07-2022,MATIC,Polygon,0.75,0.98,0.75,0.96,345839133.04,883684
18-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,127732645.34,287486
18-07-2022,SOL,Solana,38.61,44.07,38.55,43.52,261136738.34,446880
18-07-2022,TRX,Tron,0.07,0.07,0.07,0.07,69069838.50,164468
18-07-2022,UNI,Uniswap,6.95,7.46,6.92,7.33,33610628.79,73997
18-07-2022,VET,VeChain,0.02,0.02,0.02,0.02,23222631.91,83157
18-07-2022,XLM,Stellar Lumens,0.11,0.12,0.11,0.11,12134673.87,49515
18-07-2022,XMR,Monero,136.00,149.00,135.70,146.90,16919058.26,52287
18-07-2022,XRP,Ripple XRP,0.34,0.37,0.34,0.37,145950885.01,247021
17-07-2022,AAVE,Aave,92.90,93.70,86.30,88.20,23141121.77,59840
17-07-2022,ADA,Cardano,0.46,0.47,0.44,0.45,69559410.06,137153
17-07-2022,BTC,Bitcoin,21195.60,21684.54,20750.01,20798.16,2511251392.58,4261057
17-07-2022,DOGE,Dogecoin,0.06,0.07,0.06,0.06,26531191.90,80443
17-07-2022,DOT,Polkadot,7.20,7.33,6.88,6.92,36744629.67,68732
17-07-2022,ETH,Ethereum,1355.84,1387.00,1319.04,1338.65,1687064377.70,1163593
17-07-2022,FIL,Filecoin,5.40,5.98,5.36,5.68,34025053.06,78439
17-07-2022,LINK,ChainLink,6.60,6.72,6.32,6.35,34758380.01,91998
17-07-2022,MATIC,Polygon,0.73,0.79,0.72,0.75,118077971.40,315931
17-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,33870124.44,80058
17-07-2022,SOL,Solana,39.59,41.09,38.29,38.62,150590859.72,253441
17-07-2022,TRX,Tron,0.07,0.07,0.07,0.07,38190914.45,98446
17-07-2022,UNI,Uniswap,7.38,7.48,6.89,6.94,19558498.07,46838
17-07-2022,VET,VeChain,0.02,0.02,0.02,0.02,12081114.75,42976
17-07-2022,XLM,Stellar Lumens,0.11,0.11,0.11,0.11,7075733.25,29208
17-07-2022,XMR,Monero,138.90,142.20,134.10,136.00,9503985.17,32032
17-07-2022,XRP,Ripple XRP,0.35,0.36,0.34,0.34,71308820.20,155405
16-07-2022,AAVE,Aave,90.50,96.00,87.30,92.90,36148669.05,76144
16-07-2022,ADA,Cardano,0.44,0.46,0.43,0.46,66098071.70,132608
16-07-2022,BTC,Bitcoin,20830.04,21588.94,20478.61,21195.60,2539616922.80,3723401
16-07-2022,DOGE,Dogecoin,0.06,0.06,0.06,0.06,28598349.08,86274
16-07-2022,DOT,Polkadot,6.79,7.22,6.56,7.20,44569898.48,74939
16-07-2022,ETH,Ethereum,1231.25,1422.91,1191.23,1355.85,1936527899.33,1678529
16-07-2022,FIL,Filecoin,5.23,5.45,5.16,5.39,14036594.83,31207
16-07-2022,LINK,ChainLink,6.33,6.62,6.14,6.60,43646748.97,109947
16-07-2022,MATIC,Polygon,0.70,0.74,0.68,0.73,92480110.23,249207
16-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,36704434.28,89026
16-07-2022,SOL,Solana,37.36,40.41,36.35,39.58,152184601.38,259342
16-07-2022,TRX,Tron,0.07,0.07,0.07,0.07,38514163.85,106616
16-07-2022,UNI,Uniswap,6.79,7.70,6.67,7.38,34888490.03,80577
16-07-2022,VET,VeChain,0.02,0.02,0.02,0.02,10986388.63,35586
16-07-2022,XLM,Stellar Lumens,0.11,0.11,0.11,0.11,6658689.95,25930
16-07-2022,XMR,Monero,138.90,145.00,135.50,138.90,15578218.65,41546
16-07-2022,XRP,Ripple XRP,0.33,0.36,0.33,0.35,93541230.76,176489
15-07-2022,AAVE,Aave,91.30,95.60,86.80,90.40,41929561.15,97596
15-07-2022,ADA,Cardano,0.44,0.45,0.43,0.44,82956659.09,149271
15-07-2022,BTC,Bitcoin,20588.84,21200.00,20382.29,20830.04,2984339734.35,4411375
15-07-2022,DOGE,Dogecoin,0.06,0.06,0.06,0.06,41111678.25,119396
15-07-2022,DOT,Polkadot,6.73,6.99,6.65,6.79,43246930.69,72915
15-07-2022,ETH,Ethereum,1193.42,1287.82,1181.05,1231.25,1794058728.78,1170632
15-07-2022,FIL,Filecoin,5.36,5.46,5.20,5.23,18570017.93,40736
15-07-2022,LINK,ChainLink,6.28,6.46,6.12,6.33,62808375.36,129639
15-07-2022,MATIC,Polygon,0.71,0.74,0.68,0.70,162301427.67,453950
15-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,53746895.27,115852
15-07-2022,SOL,Solana,37.14,39.10,36.49,37.36,167467008.23,281361
15-07-2022,TRX,Tron,0.07,0.07,0.07,0.07,35643233.70,90843
15-07-2022,UNI,Uniswap,7.02,7.26,6.72,6.78,32964469.61,76462
15-07-2022,VET,VeChain,0.02,0.02,0.02,0.02,12414307.68,40789
15-07-2022,XLM,Stellar Lumens,0.11,0.11,0.11,0.11,6755252.11,26523
15-07-2022,XMR,Monero,134.10,141.50,132.50,138.80,16502453.31,48226
15-07-2022,XRP,Ripple XRP,0.33,0.35,0.33,0.33,132631266.87,200294
14-07-2022,AAVE,Aave,79.80,92.80,77.40,91.30,46396433.12,120649
14-07-2022,ADA,Cardano,0.44,0.45,0.42,0.44,89817605.09,161281
14-07-2022,BTC,Bitcoin,20234.87,20900.00,19616.07,20588.84,3526210098.29,4576355
14-07-2022,DOGE,Dogecoin,0.06,0.06,0.06,0.06,37889836.81,100279
14-07-2022,DOT,Polkadot,6.47,6.77,6.29,6.72,37031562.89,67101
14-07-2022,ETH,Ethereum,1115.01,1214.65,1072.11,1193.42,1816929082.73,1611421
14-07-2022,FIL,Filecoin,5.29,5.42,5.16,5.36,17335646.14,37057
14-07-2022,LINK,ChainLink,6.18,6.39,5.99,6.28,43730141.86,100014
14-07-2022,MATIC,Polygon,0.64,0.72,0.61,0.71,243456273.48,709188
14-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,44663723.07,94568
14-07-2022,SOL,Solana,34.94,37.31,33.58,37.15,183611446.57,275359
14-07-2022,TRX,Tron,0.07,0.07,0.06,0.07,43567995.21,104696
14-07-2022,UNI,Uniswap,6.12,7.11,6.02,7.02,76873609.16,155069
14-07-2022,VET,VeChain,0.02,0.02,0.02,0.02,13356878.19,44670
14-07-2022,XLM,Stellar Lumens,0.11,0.11,0.10,0.11,5589117.58,23571
14-07-2022,XMR,Monero,124.20,135.00,123.20,134.00,9610156.23,31784
14-07-2022,XRP,Ripple XRP,0.32,0.33,0.31,0.33,103892845.09,146897
13-07-2022,AAVE,Aave,68.40,81.00,67.30,79.70,40466604.99,97959
13-07-2022,ADA,Cardano,0.42,0.44,0.40,0.44,111631781.48,219814
13-07-2022,BTC,Bitcoin,19331.28,20366.61,18910.94,20234.87,4096306063.80,4789109
13-07-2022,DOGE,Dogecoin,0.06,0.06,0.06,0.06,46058378.16,135523
13-07-2022,DOT,Polkadot,6.29,6.55,6.00,6.47,44083802.38,91643
13-07-2022,ETH,Ethereum,1038.58,1119.18,1006.32,1115.00,2158672347.76,1423956
13-07-2022,FIL,Filecoin,5.08,5.32,5.00,5.29,25679548.53,58392
13-07-2022,LINK,ChainLink,5.95,6.19,5.70,6.18,40572266.17,78389
13-07-2022,MATIC,Polygon,0.54,0.65,0.52,0.64,144699512.72,444235
13-07-2022,SHIB,Shiba Inu Coin,0.00,0.00,0.00,0.00,57248424.62,125930
13-07-2022,SOL,Solana,32.69,35.08,31.82,34.94,159907054.01,275893
13-07-2022,TRX,Tron,0.06,0.07,0.06,0.07,53527167.70,142998
13-07-2022,UNI,Uniswap,5.54,6.27,5.24,6.12,36391158.38,74885
13-07-2022,VET,VeChain,0.02,0.02,0.02,0.02,14924607.02,52258
13-07-2022,XLM,Stellar Lumens,0.10,0.11,0.10,0.11,9173166.49,38828
13-07-2022,XMR,Monero,123.10,126.00,117.60,124.20,8998642.23,30433
13-07-2022,XRP,Ripple XRP,0.31,0.33,0.30,0.32,111462870.56,176989
12-07-2022,AAVE,Aave,69.90,71.90,65.70,68.40,20645118.57,51211
